freq_Hz	dB(S11)	dB(S12)	dB(S21)	dB(S22)	mu	muprima	nf(2)	nfmin
830000000	-10.176357	-26.058376	11.582369	-14.607980	2.179096	1.847173	1.484391	1.113191
840000000	-10.988718	-25.857646	11.588408	-14.416911	2.179427	1.921404	1.464919	1.117298
850000000	-11.889346	-25.666036	11.587421	-14.227859	2.179695	2.003194	1.446997	1.121410
860000000	-12.895574	-25.483458	11.579454	-14.041649	2.179903	2.093404	1.430566	1.125528
870000000	-14.030557	-25.309792	11.564587	-13.858994	2.180051	2.192950	1.415570	1.129650
880000000	-15.325908	-25.144891	11.542929	-13.680502	2.180141	2.302744	1.401953	1.133776
890000000	-16.825534	-24.988576	11.514618	-13.506675	2.180175	2.423572	1.389661	1.137906
900000000	-18.590266	-24.840644	11.479823	-13.337919	2.180153	2.555819	1.378643	1.142039
910000000	-20.697689	-24.700866	11.438734	-13.174548	2.180076	2.698875	1.368847	1.146174
920000000	-23.200349	-24.568995	11.391567	-13.016793	2.179947	2.849899	1.360226	1.150312
930000000	-25.843686	-24.444760	11.338556	-12.864809	2.179766	3.001297	1.352731	1.154451
940000000	-27.172762	-24.327878	11.279952	-12.718684	2.179534	3.136330	1.346318	1.158592
950000000	-25.745043	-24.218051	11.216020	-12.578444	2.179252	3.225374	1.340941	1.162733
960000000	-23.213257	-24.114973	11.147036	-12.444065	2.178921	3.235801	1.336559	1.166875
970000000	-20.881359	-24.018328	11.073283	-12.315477	2.178541	3.162532	1.333130	1.171017
980000000	-18.943129	-23.927798	10.995052	-12.192572	2.178114	3.035421	1.330615	1.175159
990000000	-17.337536	-23.843064	10.912631	-12.075211	2.177640	2.888424	1.328975	1.179300
1000000000	-15.987626	-23.763806	10.826313	-11.963229	2.177121	2.741803	1.328175	1.183440
1010000000	-14.833969	-23.689708	10.736385	-11.856442	2.176556	2.604417	1.328179	1.187578
1020000000	-13.833672	-23.620459	10.643131	-11.754648	2.175946	2.479179	1.328954	1.191715
1030000000	-12.955732	-23.555756	10.546830	-11.657637	2.175292	2.366360	1.330466	1.195850
1040000000	-12.177337	-23.495303	10.447752	-11.565188	2.174595	2.265174	1.332686	1.199983
1050000000	-11.481329	-23.438812	10.346158	-11.477078	2.173854	2.174485	1.335584	1.204113
1060000000	-10.854527	-23.386010	10.242299	-11.393081	2.173071	2.093103	1.339132	1.208241
1070000000	-10.286611	-23.336630	10.136416	-11.312972	2.172246	2.019915	1.343303	1.212365
1080000000	-9.769351	-23.290419	10.028740	-11.236530	2.171379	1.953918	1.348073	1.216486
1090000000	-9.296087	-23.247138	9.919489	-11.163537	2.170471	1.894237	1.353416	1.220603
1100000000	-8.861352	-23.206557	9.808869	-11.093780	2.169522	1.840109	1.359311	1.224717
1110000000	-8.460605	-23.168460	9.697075	-11.027053	2.168533	1.790876	1.365735	1.228827
1120000000	-8.090028	-23.132643	9.584289	-10.963157	2.167503	1.745971	1.372670	1.232932
1130000000	-7.746387	-23.098914	9.470684	-10.901902	2.166432	1.704902	1.380095	1.237033
1140000000	-7.426912	-23.067093	9.356420	-10.843103	2.165322	1.667246	1.387994	1.241130
1150000000	-7.129215	-23.037012	9.241644	-10.786588	2.164173	1.632633	1.396349	1.245221
1160000000	-6.851225	-23.008513	9.126496	-10.732190	2.162984	1.600743	1.405147	1.249308
1170000000	-6.591129	-22.981449	9.011104	-10.679751	2.161756	1.571297	1.414372	1.253389
1180000000	-6.347337	-22.955684	8.895586	-10.629122	2.160489	1.544049	1.424012	1.257466
1190000000	-6.118442	-22.931090	8.780050	-10.580162	2.159183	1.518785	1.434055	1.261537
1200000000	-5.903197	-22.907551	8.664598	-10.532738	2.157838	1.495315	1.444491	1.265602
1210000000	-5.700491	-22.884957	8.549320	-10.486725	2.156454	1.473471	1.455310	1.269661
1220000000	-5.509329	-22.863208	8.434301	-10.442006	2.155032	1.453107	1.466503	1.273715
1230000000	-5.328819	-22.842211	8.319617	-10.398469	2.153571	1.434089	1.478064	1.277763
1240000000	-5.158155	-22.821881	8.205338	-10.356012	2.152071	1.416301	1.489986	1.281804
1250000000	-4.996612	-22.802139	8.091526	-10.314537	2.150533	1.399637	1.502265	1.285840
1260000000	-4.843531	-22.782913	7.978238	-10.273954	2.148956	1.384004	1.514894	1.289869
1270000000	-4.698314	-22.764137	7.865525	-10.234178	2.147341	1.369317	1.527873	1.293891
1280000000	-4.560416	-22.745749	7.753434	-10.195129	2.145687	1.355501	1.541198	1.297907
1290000000	-4.429340	-22.727696	7.642005	-10.156734	2.143994	1.342487	1.554868	1.301917
1300000000	-4.304633	-22.709925	7.531275	-10.118924	2.142263	1.330214	1.568883	1.305920
1310000000	-4.185877	-22.692392	7.421276	-10.081635	2.140493	1.318625	1.583244	1.309916
1320000000	-4.072690	-22.675054	7.312037	-10.044807	2.138683	1.307670	1.597952	1.313905
1330000000	-3.964720	-22.657872	7.203582	-10.008384	2.136835	1.297302	1.613010	1.317887
1340000000	-3.861645	-22.640813	7.095934	-9.972315	2.134948	1.287481	1.628421	1.321862
