optIter	freq	dB(S(1,1))[0, ::]
51	6.94000000000000039E8	-8.06163070073601062E-1
51	6.95000000000000018E8	-8.08473819852603270E-1
51	6.95999999999999908E8	-8.10807663923162281E-1
51	6.97000000000000064E8	-8.13164858587415829E-1
51	6.97999999999999954E8	-8.15545663887093042E-1
51	6.99000000000000021E8	-8.17950343690129422E-1
51	7.00000000000000000E8	-8.20379165719256420E-1
51	7.00999999999999979E8	-8.22832401665084490E-1
51	7.02000000000000046E8	-8.25310327205677652E-1
51	7.02999999999999936E8	-8.27813222131042359E-1
51	7.04000000000000092E8	-8.30341370370803844E-1
51	7.04999999999999982E8	-8.32895060105333052E-1
51	7.05999999999999961E8	-8.35474583813652139E-1
51	7.07000000000000028E8	-8.38080238370156394E-1
51	7.08000000000000007E8	-8.40712325105308977E-1
51	7.09000000000000075E8	-8.43371149907669349E-1
51	7.09999999999999964E8	-8.46057023299760225E-1
51	7.10999999999999943E8	-8.48770260517486186E-1
51	7.12000000000000011E8	-8.51511181598547395E-1
51	7.12999999999999989E8	-8.54280111464389691E-1
51	7.14000000000000057E8	-8.57077380037650549E-1
51	7.15000000000000036E8	-8.59903322286692706E-1
51	7.15999999999999925E8	-8.62758278369749121E-1
51	7.16999999999999993E8	-8.65642593697296547E-1
51	7.17999999999999972E8	-8.68556619037974365E-1
51	7.19000000000000039E8	-8.71500710621650398E-1
51	7.20000000000000018E8	-8.74475230252406810E-1
51	7.20999999999999908E8	-8.77480545390136690E-1
51	7.22000000000000064E8	-8.80517029280034436E-1
51	7.22999999999999954E8	-8.83585061032540686E-1
51	7.24000000000000021E8	-8.86685025768598578E-1
51	7.25000000000000000E8	-8.89817314723216768E-1
51	7.25999999999999979E8	-8.92982325339696814E-1
51	7.27000000000000046E8	-8.96180461427912256E-1
51	7.27999999999999936E8	-8.99412133235949973E-1
51	7.29000000000000092E8	-9.02677757623502508E-1
51	7.29999999999999982E8	-9.05977758172053527E-1
51	7.30999999999999961E8	-9.09312565295286213E-1
51	7.32000000000000028E8	-9.12682616390276102E-1
51	7.33000000000000007E8	-9.16088355993121795E-1
51	7.34000000000000075E8	-9.19530235862744583E-1
51	7.34999999999999964E8	-9.23008715181696715E-1
51	7.35999999999999943E8	-9.26524260665987853E-1
51	7.37000000000000011E8	-9.30077346727145837E-1
51	7.37999999999999989E8	-9.33668455616232507E-1
51	7.39000000000000057E8	-9.37298077587402290E-1
51	7.40000000000000036E8	-9.40966711060898753E-1
51	7.40999999999999925E8	-9.44674862765512557E-1
51	7.41999999999999993E8	-9.48423047933889052E-1
51	7.42999999999999972E8	-9.52211790444689044E-1
51	7.44000000000000039E8	-9.56041623019417841E-1
51	7.45000000000000018E8	-9.59913087392569153E-1
51	7.45999999999999908E8	-9.63826734474887381E-1
51	7.47000000000000064E8	-9.67783124590558153E-1
51	7.47999999999999954E8	-9.71782827617135680E-1
51	7.49000000000000021E8	-9.75826423196917148E-1
51	7.50000000000000000E8	-9.79914500951147893E-1
51	7.50999999999999979E8	-9.84047660692518100E-1
51	7.52000000000000046E8	-9.88226512585170802E-1
51	7.52999999999999936E8	-9.92451677421500023E-1
51	7.54000000000000092E8	-9.96723786797746847E-1
51	7.54999999999999982E8	-1.00104348337186866E0
51	7.55999999999999961E8	-1.00541142106809689E0
51	7.57000000000000028E8	-1.00982826533275971E0
51	7.58000000000000007E8	-1.01429469337838141E0
51	7.59000000000000075E8	-1.01881139440219504E0
51	7.59999999999999964E8	-1.02337906988095440E0
51	7.60999999999999943E8	-1.02799843380876887E0
51	7.62000000000000011E8	-1.03267021296582628E0
51	7.62999999999999989E8	-1.03739514719969139E0
51	7.64000000000000057E8	-1.04217398969596076E0
51	7.65000000000000036E8	-1.04700750729003378E0
51	7.65999999999999925E8	-1.05189648071844988E0
51	7.66999999999999993E8	-1.05684170495203444E0
51	7.67999999999999972E8	-1.06184398952407211E0
51	7.69000000000000039E8	-1.06690415880952494E0
51	7.70000000000000018E8	-1.07202305234163342E0
51	7.70999999999999908E8	-1.07720152520888202E0
51	7.72000000000000064E8	-1.08244044834576814E0
51	7.72999999999999954E8	-1.08774070888861485E0
51	7.74000000000000021E8	-1.09310321054482862E0
51	7.75000000000000000E8	-1.09852887397263910E0
51	7.75999999999999979E8	-1.10401863714155590E0
51	7.77000000000000046E8	-1.10957345572378507E0
51	7.77999999999999936E8	-1.11519430352214699E0
51	7.79000000000000092E8	-1.12088217282136560E0
51	7.79999999999999982E8	-1.12663807487340906E0
51	7.80999999999999961E8	-1.13246304028733236E0
51	7.82000000000000028E8	-1.13835811946734178E0
51	7.83000000000000007E8	-1.14432438309855078E0
