time	Tran1.TRAN.VRL
9.96684658665255441E-9	9.53566765968988506E0
9.99376866669854280E-9	9.35596082701409770E0
1.00278925852258327E-8	9.09693236281084161E0
1.00504490576317762E-8	8.89221576991895901E0
1.00916754596938940E-8	8.46285853302925695E0
1.01179711028104213E-8	8.18202911620822704E0
1.01667721789205068E-8	7.67502716337205904E0
1.02001780214815829E-8	7.29660096913175238E0
1.02545671465964494E-8	6.62045039068826835E0
1.02908161062053116E-8	6.22136248140165904E0
1.03507963150912552E-8	5.81951089180128722E0
1.04056014055815904E-8	5.69242284270272592E0
1.04681014055815891E-8	5.84481535848234746E0
1.05275852552333271E-8	6.33669708936752407E0
1.05900852552333258E-8	7.09091327079297162E0
1.06525852552333267E-8	7.96860684227515925E0
1.07150852552333276E-8	8.90666144041881758E0
1.07775852552333240E-8	9.71262753640552035E0
1.08400852552333249E-8	1.02430381748936083E1
1.09014197847553596E-8	1.04774388282316022E1
1.09496537393427151E-8	1.04139938689729639E1
1.09879891193323531E-8	1.01921271336329022E1
1.10260162514069582E-8	9.87188688987045282E0
1.10746179316903937E-8	9.35439877467694281E0
1.11092170212097341E-8	8.90043648641095331E0
1.11365401367954187E-8	8.49824152062009830E0
1.11604653308603519E-8	8.13582592679432537E0
1.11881659941801725E-8	7.71837042326579059E0
1.12120489326079675E-8	7.35558575713938456E0
1.12485431681055004E-8	6.79424338948376860E0
1.12891075514745909E-8	6.21676356372208794E0
1.13365854215712747E-8	5.70171334767281479E0
1.13952369207360737E-8	5.33665952396075483E0
1.14577369207360746E-8	5.28722045627039972E0
1.15120551415575845E-8	5.57671795423314265E0
1.15745551415575854E-8	6.24736653071006565E0
1.16370551415575862E-8	7.15086460076203867E0
1.16995551415575849E-8	8.19518459601750671E0
1.17620551415575836E-8	9.22724880892790011E0
1.18245551415575822E-8	1.00554744506092830E1
1.18870551415575809E-8	1.05871211339069604E1
1.19495551415575796E-8	1.07467614046425330E1
1.20078600433401550E-8	1.05091066071006578E1
1.20680277530559388E-8	9.93139337079386308E0
1.21235213881238302E-8	9.16377193481880070E0
1.21622101794495596E-8	8.51570882625390801E0
1.22247101794495583E-8	7.40725037252615781E0
1.22827561215298653E-8	6.44746035408504792E0
1.23452561215298617E-8	5.61113532431526618E0
1.24077561215298626E-8	5.09975415617907402E0
1.24702561215298613E-8	5.01030521170275822E0
1.25327561215298622E-8	5.33284184985381682E0
1.25952561215298631E-8	6.02453256831709094E0
1.26577561215298640E-8	7.01295767272375237E0
1.27202561215298604E-8	8.13637424706968737E0
1.27827561215298591E-8	9.22439332263377310E0
1.28452561215298644E-8	1.01324345110822156E1
1.29077561215298586E-8	1.07058656809860531E1
1.29702561215298573E-8	1.08522771019313247E1
1.30327561215298582E-8	1.05651619580267653E1
1.30952561215298591E-8	9.87004535685590945E0
1.31548228473657280E-8	8.91369220402674678E0
1.32118106041233974E-8	7.86613577258582186E0
1.32743106041233982E-8	6.71946548749636641E0
1.33368106041233969E-8	5.73286137408665653E0
1.33993106041234000E-8	5.06648239474918061E0
1.34618106041233965E-8	4.80748386248475157E0
1.35243106041233996E-8	4.98395593133518311E0
1.35868106041233982E-8	5.58635264577637525E0
1.36493106041233969E-8	6.52832821417915099E0
1.37118106041233956E-8	7.66781301097710433E0
1.37743106041233987E-8	8.84583078550273783E0
1.38368106041233951E-8	9.87984263643616778E0
1.38993106041233960E-8	1.06030810923361107E1
1.39618106041233991E-8	1.09111820307894436E1
1.40243106041233956E-8	1.07525169654803032E1
1.40868106041233920E-8	1.01424245849836381E1
1.41493106041233974E-8	9.17986372856032773E0
1.42105327784565882E-8	8.03472910630352466E0
1.42718776130656355E-8	6.85049809472467075E0
1.43343776130656386E-8	5.79120608025256889E0
1.43968776130656395E-8	5.03573944668652640E0
1.44593776130656382E-8	4.68562710171363683E0
1.45218776130656368E-8	4.79271102464204990E0
1.45843776130656377E-8	5.34365268530217730E0
1.46468776130656342E-8	6.25949203439056845E0
1.47093776130656329E-8	7.41390996487500598E0
1.47718776130656337E-8	8.63558453693024930E0
1.48343776130656391E-8	9.73283554286866170E0
1.48968776130656355E-8	1.05381986811254191E1
1.49593776130656386E-8	1.09260845217920122E1
1.50218776130656373E-8	1.08304266821637851E1
1.50843776130656382E-8	1.02670779183511418E1
1.51468776130656368E-8	9.32359134641715848E0
1.52038342782993618E-8	8.24939991384070481E0
1.52663342782993650E-8	7.01084283068665037E0
1.53288342782993681E-8	5.89213632168054158E0
1.53913342782993690E-8	5.05738097740921067E0
1.54538342782993698E-8	4.62704649115003797E0
1.55163342782993685E-8	4.65997444379381331E0
1.55788342782993761E-8	5.14843549220363350E0
1.56413342782993725E-8	6.02865100801809106E0
1.57038342782993778E-8	7.17870900851212301E0
1.57663342782993765E-8	8.42473962217468220E0
1.58288342782993752E-8	9.57569336545749117E0
1.58913342782993805E-8	1.04542027744691657E1
1.59538342782993814E-8	1.09196671056691264E1
1.60163342782993801E-8	1.08978541501600334E1
1.60788342782993832E-8	1.03933805031478443E1
1.61413342782993841E-8	9.48290547444057808E0
1.62038342782993849E-8	8.30778829721670853E0
1.62663342782993880E-8	7.05232708959955890E0
1.63288342782993867E-8	5.90810581127254597E0
1.63913342782993920E-8	5.04622354173185172E0
1.64538342782993885E-8	4.59162474154021361E0
1.65163342782993916E-8	4.60312111245600430E0
1.65788342782993925E-8	5.07690530463596268E0
1.66413342782993934E-8	5.95266200323218264E0
1.67038342782993987E-8	7.10784382924272862E0
1.67663342782993996E-8	8.36878848544170673E0
1.68288342782993983E-8	9.54248858472705130E0
1.68913342782994036E-8	1.04458669237193114E1
1.69538342782994067E-8	1.09349098436163472E1
1.70163342782994054E-8	1.09326458481004396E1
1.70788342782994040E-8	1.04397124719345102E1
1.71413342782994049E-8	9.53234430713842151E0
1.72038342782994080E-8	8.35318545634271459E0
1.72663342782994111E-8	7.08689080164998764E0
1.73288342782994120E-8	5.92800581898887469E0
1.73913342782994174E-8	5.05123015073440840E0
1.74538342782994116E-8	4.58257621048923802E0
1.75163342782994125E-8	4.58218849766848724E0
1.75788342782994156E-8	5.04796084795638755E0
1.76413342782994143E-8	5.92060717572256134E0
1.77038342782994151E-8	7.07913933891686131E0
1.77663342782994205E-8	8.34984081495099062E0
1.78288342782994214E-8	9.53709835116707083E0
1.78913342782994267E-8	1.04556089792545337E1
1.79538342782994187E-8	1.09592391944900003E1
1.80163342782994285E-8	1.09682161291604419E1
1.80788342782994271E-8	1.04818814389986681E1
1.81413342782994258E-8	9.57644022489552427E0
1.82038342782994267E-8	8.39442944168306582E0
1.82663342782994276E-8	7.12161477850543978E0
1.83288342782994329E-8	5.95464262806820255E0
1.83913342782994338E-8	5.06950383943610383E0
1.84538342782994347E-8	4.59317843239308043E0
1.85163342782994356E-8	4.58652917664404214E0
1.85788342782994320E-8	5.04749326002318632E0
1.86413342782994373E-8	5.91801432849651565E0
1.87038342782994427E-8	7.07879070242837027E0
1.87663342782994369E-8	8.35538388320932945E0
1.88288342782994422E-8	9.55068289457893194E0
1.88913342782994453E-8	1.04784911367943656E1
1.89538342782994440E-8	1.09907651368621972E1
1.90163342782994471E-8	1.10061089515639265E1
1.90788342782994502E-8	1.05236419882546084E1
1.91413342782994511E-8	9.61912774462585141E0
1.92038342782994542E-8	8.43511322748647174E0
1.92663342782994507E-8	7.15856350474231995E0
1.93288342782994538E-8	5.98702637473704602E0
1.93913342782994547E-8	5.09720815772881330E0
1.94538342782994556E-8	4.61691395921762116E0
1.95163342782994609E-8	4.60685026188926816E0
1.95788342782994595E-8	5.06477638794817064E0
1.96413342782994560E-8	5.93389934236907735E0
1.97038342782994591E-8	7.09593975461063220E0
1.97663342782994622E-8	8.37590698920404542E0
1.98288342782994675E-8	9.57598188300596043E0
1.98913342782994729E-8	1.05093053632382172E1
1.99538342782994671E-8	1.10265251707088496E1
2.00163342782994702E-8	1.10454641364954043E1
2.00788342782994711E-8	1.05651289240137536E1
2.01413342782994720E-8	9.66091573281177673E0
2.02038342782994729E-8	8.47556096647360491E0
2.02663342782994693E-8	7.19680704036007413E0
2.03288342782994791E-8	6.02260155404740249E0
2.03913342782994800E-8	5.13017566164477934E0
2.04538342782994809E-8	4.64778872551199029E0
2.05163342782994773E-8	4.63576108235313455E0
2.05788342782994826E-8	5.09179227692859104E0
2.06413342782994791E-8	5.95998962100113161E0
2.07038342782994844E-8	7.12262981230021275E0
2.07663342782994853E-8	8.40446448588682493E0
2.08288342782994862E-8	9.60726506017694071E0
2.08913342782994871E-8	1.05436540803241230E1
2.09538342782994924E-8	1.10635640638456190E1
2.10163342782994933E-8	1.10843980364837891E1
2.10788342782994942E-8	1.06050527746812540E1
2.11413342782994906E-8	9.70079037043566395E0
2.12038342782995004E-8	8.51449467602898658E0
2.12663342782994969E-8	7.23433027784830518E0
2.13288342782995022E-8	6.05850925651157013E0
2.13913342782995031E-8	5.16456568346299516E0
2.14538342782994951E-8	4.68097298548797536E0
2.15163342782995048E-8	4.66780730611142403E0
2.15788342782995102E-8	5.12274492148675975E0
2.16413342782995022E-8	5.99040184494149219E0
2.17038342782995031E-8	7.15333393010021190E0
2.17663342782995084E-8	8.43614377581041985E0
2.18288342782995137E-8	9.64035005624267249E0
