freq	stab_fact(S)
3.18000000000000016E8	9.96212190975978018E-1
3.18999999999999995E8	9.96274296307741736E-1
3.20000000000000018E8	9.96335730986239909E-1
3.20999999999999996E8	9.96396502816936014E-1
3.22000000000000020E8	9.96456619487856088E-1
3.22999999999999954E8	9.96516088573507730E-1
3.23999999999999977E8	9.96574917536140426E-1
3.25000000000000000E8	9.96633113725284936E-1
3.26000000000000023E8	9.96690684386583747E-1
3.27000000000000046E8	9.96747636655024571E-1
3.27999999999999980E8	9.96803977561701160E-1
3.29000000000000004E8	9.96859714037853273E-1
3.29999999999999982E8	9.96914852910174965E-1
3.31000000000000005E8	9.96969400908725945E-1
3.32000000000000028E8	9.97023364663522749E-1
3.32999999999999963E8	9.97076750711854665E-1
3.33999999999999986E8	9.97129565493953862E-1
3.35000000000000009E8	9.97181815359182622E-1
3.36000000000000032E8	9.97233506565741656E-1
3.37000000000000011E8	9.97284645281590798E-1
3.37999999999999989E8	9.97335237588153589E-1
3.38999999999999968E8	9.97385289478275183E-1
3.39999999999999991E8	9.97434806862480094E-1
3.41000000000000014E8	9.97483795566304998E-1
3.42000000000000037E8	9.97532261333730652E-1
3.42999999999999972E8	9.97580209826599074E-1
3.43999999999999995E8	9.97627646630214038E-1
3.45000000000000018E8	9.97674577249137151E-1
3.45999999999999996E8	9.97721007112247626E-1
3.47000000000000020E8	9.97766941574286470E-1
3.47999999999999954E8	9.97812385913749011E-1
3.48999999999999977E8	9.97857345335663481E-1
3.50000000000000000E8	9.97901824977336993E-1
3.51000000000000023E8	9.97945829900823433E-1
3.52000000000000046E8	9.97989365101122239E-1
3.52999999999999980E8	9.98032435505111160E-1
3.54000000000000004E8	9.98075045971769725E-1
3.54999999999999982E8	9.98117201294124357E-1
3.56000000000000005E8	9.98158906200467300E-1
3.57000000000000028E8	9.98200165354208835E-1
3.57999999999999963E8	9.98240983357943001E-1
3.58999999999999986E8	9.98281364750269695E-1
3.60000000000000009E8	9.98321314010043892E-1
3.61000000000000032E8	9.98360835555072512E-1
3.62000000000000011E8	9.98399933745660562E-1
3.62999999999999989E8	9.98438612883665044E-1
3.63999999999999968E8	9.98476877213499137E-1
3.64999999999999991E8	9.98514730922813243E-1
3.66000000000000014E8	9.98552178146302793E-1
3.67000000000000037E8	9.98589222960315759E-1
3.67999999999999972E8	9.98625869392254906E-1
3.68999999999999995E8	9.98662121412027304E-1
3.70000000000000018E8	9.98697982942517548E-1
3.70999999999999996E8	9.98733457851656325E-1
3.72000000000000020E8	9.98768549959192242E-1
3.72999999999999954E8	9.98803263034484345E-1
3.73999999999999977E8	9.98837600798555592E-1
3.75000000000000000E8	9.98871566924128551E-1
3.76000000000000023E8	9.98905165036941511E-1
3.77000000000000046E8	9.98938398715648113E-1
3.77999999999999980E8	9.98971271494695401E-1
3.79000000000000004E8	9.99003786861735321E-1
3.79999999999999982E8	9.99035948260575424E-1
3.81000000000000005E8	9.99067759092487151E-1
3.82000000000000028E8	9.99099222712458257E-1
3.82999999999999963E8	9.99130342436587604E-1
3.83999999999999986E8	9.99161121537893138E-1
3.85000000000000009E8	9.99191563247662273E-1
3.86000000000000032E8	9.99221670757477298E-1
3.87000000000000011E8	9.99251447219470990E-1
3.87999999999999989E8	9.99280895744112740E-1
3.88999999999999968E8	9.99310019406401828E-1
3.89999999999999991E8	9.99338821240636577E-1
3.91000000000000014E8	9.99367304244898413E-1
3.92000000000000037E8	9.99395471380240252E-1
3.92999999999999972E8	9.99423325569308751E-1
3.93999999999999995E8	9.99450869702861944E-1
3.95000000000000018E8	9.99478106631714169E-1
3.95999999999999996E8	9.99505039175457988E-1
3.97000000000000020E8	9.99531670117037763E-1
3.97999999999999954E8	9.99558002206619456E-1
3.98999999999999977E8	9.99584038160190858E-1
4.00000000000000000E8	9.99609780661060832E-1
4.00999999999999979E8	9.99635232362109605E-1
4.02000000000000046E8	9.99660395881777397E-1
4.02999999999999936E8	9.99685273807441632E-1
4.04000000000000004E8	9.99709868697095594E-1
4.04999999999999982E8	9.99734183075148586E-1
4.06000000000000050E8	9.99758219440427709E-1
4.07000000000000028E8	9.99781980257310465E-1
4.08000000000000007E8	9.99805467963306782E-1
4.08999999999999986E8	9.99828684967709158E-1
4.09999999999999964E8	9.99851633649936744E-1
4.11000000000000032E8	9.99874316362162574E-1
4.12000000000000011E8	9.99896735427786254E-1
4.12999999999999989E8	9.99918893144849363E-1
4.13999999999999968E8	9.99940791783622096E-1
4.15000000000000036E8	9.99962433587472965E-1
4.16000000000000014E8	9.99983820774255605E-1
4.16999999999999993E8	1.00000495553545021E0
4.17999999999999972E8	1.00002584003749551E0
4.18999999999999950E8	1.00004647642237909E0
4.20000000000000018E8	1.00006686680691947E0
4.20999999999999996E8	1.00008701328328975E0
4.22000000000000064E8	1.00010691792041362E0
4.22999999999999954E8	1.00012658276274879E0
4.24000000000000021E8	1.00014600983164104E0
4.25000000000000000E8	1.00016520112619145E0
4.25999999999999979E8	1.00018415862171173E0
4.27000000000000046E8	1.00020288427087412E0
4.27999999999999936E8	1.00022138000640748E0
4.29000000000000004E8	1.00023964773767826E0
4.29999999999999982E8	1.00025768935151071E0
4.31000000000000050E8	1.00027550671615240E0
4.32000000000000028E8	1.00029310167637919E0
4.33000000000000007E8	1.00031047605887791E0
4.33999999999999986E8	1.00032763166708416E0
4.34999999999999964E8	1.00034457028701307E0
4.36000000000000032E8	1.00036129368350135E0
4.37000000000000011E8	1.00037780360247242E0
4.37999999999999989E8	1.00039410176955856E0
4.38999999999999968E8	1.00041018989230190E0
4.40000000000000036E8	1.00042606965970227E0
4.41000000000000014E8	1.00044174274213260E0
4.41999999999999993E8	1.00045721079081273E0
4.42999999999999972E8	1.00047247543882101E0
4.43999999999999950E8	1.00048753830275960E0
4.45000000000000018E8	1.00050240098186305E0
4.45999999999999996E8	1.00051706505576443E0
4.47000000000000064E8	1.00053153209011647E0
4.47999999999999954E8	1.00054580363065182E0
4.49000000000000021E8	1.00055988120900086E0
4.50000000000000000E8	1.00057376633782713E0
4.50999999999999979E8	1.00058746051653613E0
4.52000000000000046E8	1.00060096522682818E0
4.52999999999999936E8	1.00061428193348001E0
4.54000000000000004E8	1.00062741208822570E0
4.54999999999999982E8	1.00064035712601562E0
4.56000000000000050E8	1.00065311846658611E0
4.57000000000000028E8	1.00066569751394829E0
4.58000000000000007E8	1.00067809565949717E0
4.58999999999999986E8	1.00069031427873689E0
4.59999999999999964E8	1.00070235473100611E0
4.61000000000000032E8	1.00071421836512542E0
4.62000000000000011E8	1.00072590651179882E0
4.62999999999999989E8	1.00073742049275594E0
4.63999999999999968E8	1.00074876161122028E0
4.65000000000000036E8	1.00075993115945683E0
4.66000000000000014E8	1.00077093041472942E0
4.66999999999999993E8	1.00078176064279978E0
4.67999999999999972E8	1.00079242309620087E0
4.68999999999999950E8	1.00080291901304230E0
4.70000000000000018E8	1.00081324962039253E0
4.70999999999999996E8	1.00082341613235259E0
4.72000000000000064E8	1.00083341975000972E0
4.72999999999999954E8	1.00084326166364468E0
4.74000000000000021E8	1.00085294304930383E0
4.75000000000000000E8	1.00086246507220067E0
4.75999999999999979E8	1.00087182888692405E0
4.77000000000000046E8	1.00088103563496111E0
4.77999999999999936E8	1.00089008644580457E0
4.79000000000000004E8	1.00089898243974051E0
