freq	stab_fact(S)
4.02000000000000046E8	9.96600153808833689E-1
4.02999999999999936E8	9.96721957034998240E-1
4.04000000000000004E8	9.96842918941333522E-1
4.04999999999999982E8	9.96963045003504433E-1
4.06000000000000050E8	9.97082340665923894E-1
4.07000000000000028E8	9.97200811336916892E-1
4.08000000000000007E8	9.97318462395018734E-1
4.08999999999999986E8	9.97435299181499602E-1
4.09999999999999964E8	9.97551327006687849E-1
4.11000000000000032E8	9.97666551148001268E-1
4.12000000000000011E8	9.97780976846195600E-1
4.12999999999999989E8	9.97894609311770786E-1
4.13999999999999968E8	9.98007453722162907E-1
4.15000000000000036E8	9.98119515218984077E-1
4.16000000000000014E8	9.98230798912560324E-1
4.16999999999999993E8	9.98341309879375061E-1
4.17999999999999972E8	9.98451053163715230E-1
4.18999999999999950E8	9.98560033773149591E-1
4.20000000000000018E8	9.98668256688905487E-1
4.20999999999999996E8	9.98775726853485324E-1
4.22000000000000064E8	9.98882449178782750E-1
4.22999999999999954E8	9.98988428543699669E-1
4.24000000000000021E8	9.99093669795550809E-1
4.25000000000000000E8	9.99198177746066207E-1
4.25999999999999979E8	9.99301957179203981E-1
4.27000000000000046E8	9.99405012843189589E-1
4.27999999999999936E8	9.99507349454505878E-1
4.29000000000000004E8	9.99608971697009530E-1
4.29999999999999982E8	9.99709884225463341E-1
4.31000000000000050E8	9.99810091658707734E-1
4.32000000000000028E8	9.99909598588609505E-1
4.33000000000000007E8	1.00000840956911485E0
4.33999999999999986E8	1.00010652912842124E0
4.34999999999999964E8	1.00020396176220894E0
4.36000000000000032E8	1.00030071193229286E0
4.37000000000000011E8	1.00039678407142585E0
4.37999999999999989E8	1.00049218258179229E0
4.38999999999999968E8	1.00058691183236781E0
4.40000000000000036E8	1.00068097616579532E0
4.41000000000000014E8	1.00077437989037210E0
4.41999999999999993E8	1.00086712728494565E0
4.42999999999999972E8	1.00095922259957204E0
4.43999999999999950E8	1.00105067005391857E0
4.45000000000000018E8	1.00114147383460117E0
4.45999999999999996E8	1.00123163810455740E0
4.47000000000000064E8	1.00132116699108575E0
4.47999999999999954E8	1.00141006459433246E0
4.49000000000000021E8	1.00149833498872232E0
4.50000000000000000E8	1.00158598221521866E0
4.50999999999999979E8	1.00167301028503153E0
4.52000000000000046E8	1.00175942318542210E0
4.52999999999999936E8	1.00184522487179484E0
4.54000000000000004E8	1.00193041927228488E0
4.54999999999999982E8	1.00201501028549678E0
4.56000000000000050E8	1.00209900178283529E0
4.57000000000000028E8	1.00218239760809258E0
4.58000000000000007E8	1.00226520157697663E0
4.58999999999999986E8	1.00234741747780709E0
4.59999999999999964E8	1.00242904907126529E0
4.61000000000000032E8	1.00251010009094044E0
4.62000000000000011E8	1.00259057424377640E0
4.62999999999999989E8	1.00267047520927743E0
4.63999999999999968E8	1.00274980664078828E0
4.65000000000000036E8	1.00282857216420118E0
4.66000000000000014E8	1.00290677538056960E0
4.66999999999999993E8	1.00298441986271003E0
4.67999999999999972E8	1.00306150916005921E0
4.68999999999999950E8	1.00313804679333352E0
4.70000000000000018E8	1.00321403625947791E0
4.70999999999999996E8	1.00328948102995619E0
4.72000000000000064E8	1.00336438455088928E0
4.72999999999999954E8	1.00343875024097939E0
4.74000000000000021E8	1.00351258149819889E0
4.75000000000000000E8	1.00358588169153129E0
4.75999999999999979E8	1.00365865416677202E0
4.77000000000000046E8	1.00373090224741457E0
4.77999999999999936E8	1.00380262922942753E0
4.79000000000000004E8	1.00387383838692390E0
4.79999999999999982E8	1.00394453296866670E0
4.81000000000000050E8	1.00401471620011673E0
4.82000000000000028E8	1.00408439128447124E0
4.83000000000000007E8	1.00415356139876399E0
4.83999999999999986E8	1.00422222969843378E0
4.84999999999999964E8	1.00429039931583830E0
4.86000000000000032E8	1.00435807336170146E0
4.87000000000000011E8	1.00442525491931889E0
4.87999999999999989E8	1.00449194705356071E0
4.88999999999999968E8	1.00455815280746652E0
4.90000000000000036E8	1.00462387519902907E0
4.91000000000000014E8	1.00468911722441612E0
4.91999999999999993E8	1.00475388185959336E0
4.92999999999999972E8	1.00481817205670287E0
4.93999999999999950E8	1.00488199074733053E0
4.95000000000000018E8	1.00494534084420395E0
4.95999999999999996E8	1.00500822523238798E0
4.97000000000000064E8	1.00507064678169256E0
4.97999999999999954E8	1.00513260833810536E0
4.99000000000000021E8	1.00519411272807591E0
5.00000000000000000E8	1.00525516275475746E0
5.00999999999999979E8	1.00531576120427357E0
5.02000000000000046E8	1.00537591084125078E0
5.02999999999999936E8	1.00543561440772966E0
5.04000000000000004E8	1.00549487462959486E0
5.04999999999999982E8	1.00555369421088825E0
5.06000000000000050E8	1.00561207583331780E0
5.07000000000000028E8	1.00567002216387613E0
5.08000000000000007E8	1.00572753584690733E0
5.08999999999999986E8	1.00578461950868880E0
5.09999999999999964E8	1.00584127575545579E0
5.11000000000000032E8	1.00589750717458615E0
5.12000000000000011E8	1.00595331633614360E0
5.12999999999999989E8	1.00600870578790103E0
5.13999999999999968E8	1.00606367806310937E0
5.15000000000000036E8	1.00611823567579695E0
5.16000000000000014E8	1.00617238111793439E0
5.16999999999999993E8	1.00622611686788765E0
5.17999999999999972E8	1.00627944538441350E0
5.18999999999999950E8	1.00633236910699408E0
5.20000000000000018E8	1.00638489045943325E0
5.20999999999999996E8	1.00643701184734158E0
5.22000000000000064E8	1.00648873565808095E0
5.22999999999999954E8	1.00654006426239384E0
5.24000000000000021E8	1.00659100001490875E0
5.25000000000000000E8	1.00664154525038541E0
5.25999999999999979E8	1.00669170228772420E0
5.27000000000000046E8	1.00674147343163400E0
5.27999999999999936E8	1.00679086096776693E0
5.29000000000000004E8	1.00683986716405371E0
5.29999999999999982E8	1.00688849427581317E0
5.31000000000000050E8	1.00693674453777748E0
5.32000000000000028E8	1.00698462017112012E0
5.33000000000000007E8	1.00703212338200387E0
5.33999999999999986E8	1.00707925635828688E0
5.34999999999999964E8	1.00712602127258721E0
5.36000000000000032E8	1.00717242028324772E0
5.37000000000000011E8	1.00721845553093758E0
5.37999999999999989E8	1.00726412914380492E0
5.38999999999999968E8	1.00730944323230487E0
5.40000000000000036E8	1.00735439989298436E0
5.41000000000000014E8	1.00739900120583115E0
5.41999999999999993E8	1.00744324923712170E0
5.42999999999999972E8	1.00748714604124490E0
5.43999999999999950E8	1.00753069365126402E0
5.45000000000000018E8	1.00757389409079234E0
5.45999999999999996E8	1.00761674936786960E0
5.47000000000000064E8	1.00765926147573137E0
5.47999999999999954E8	1.00770143239431476E0
5.49000000000000021E8	1.00774326408815718E0
5.50000000000000000E8	1.00778475850722149E0
5.50999999999999979E8	1.00782591759009499E0
5.52000000000000046E8	1.00786674326171366E0
5.52999999999999936E8	1.00790723743049804E0
5.54000000000000004E8	1.00794740199114607E0
5.54999999999999982E8	1.00798723882975749E0
5.56000000000000050E8	1.00802674981357798E0
5.57000000000000028E8	1.00806593680075962E0
5.58000000000000007E8	1.00810480163245586E0
5.58999999999999986E8	1.00814334614151835E0
5.59999999999999964E8	1.00818157214244475E0
5.61000000000000032E8	1.00821948144302076E0
5.62000000000000011E8	1.00825707583238677E0
5.62999999999999989E8	1.00829435709042858E0
5.63999999999999968E8	1.00833132698439742E0
5.65000000000000036E8	1.00836798726865928E0
5.66000000000000014E8	1.00840433968511944E0
5.66999999999999993E8	1.00844038596236185E0
5.67999999999999972E8	1.00847612782114582E0
5.68999999999999950E8	1.00851156696425681E0
5.70000000000000018E8	1.00854670508705380E0
5.70999999999999996E8	1.00858154387132148E0
5.72000000000000064E8	1.00861608498586408E0
5.72999999999999954E8	1.00865033009198113E0
5.74000000000000021E8	1.00868428083487260E0
5.75000000000000000E8	1.00871793885037864E0
5.75999999999999979E8	1.00875130576336058E0
5.77000000000000046E8	1.00878438318653929E0
5.77999999999999936E8	1.00881717272181426E0
5.79000000000000004E8	1.00884967595940056E0
5.79999999999999982E8	1.00888189448088328E0
5.81000000000000050E8	1.00891382985296807E0
5.82000000000000028E8	1.00894548363469960E0
5.83000000000000007E8	1.00897685737393483E0
5.83999999999999986E8	1.00900795260601384E0
5.84999999999999964E8	1.00903877085855798E0
5.86000000000000032E8	1.00906931364527930E0
5.87000000000000011E8	1.00909958247416864E0
5.87999999999999989E8	1.00912957883722254E0
5.88999999999999968E8	1.00915930422130251E0
5.90000000000000036E8	1.00918876009836000E0
5.91000000000000014E8	1.00921794793584496E0
5.91999999999999993E8	1.00924686918569639E0
5.92999999999999972E8	1.00927552529451248E0
5.93999999999999950E8	1.00930391769551275E0
5.95000000000000018E8	1.00933204781507802E0
5.95999999999999996E8	1.00935991706660122E0
5.97000000000000064E8	1.00938752685660327E0
5.97999999999999954E8	1.00941487858178225E0
5.99000000000000021E8	1.00944197362851251E0
6.00000000000000000E8	1.00946881337309691E0
6.00999999999999979E8	1.00949539918519782E0
6.02000000000000046E8	1.00952173242269305E0
6.02999999999999936E8	1.00954781443513997E0
6.04000000000000004E8	1.00957364656331205E0
6.04999999999999982E8	1.00959923013942343E0
6.06000000000000050E8	1.00962456648405352E0
6.07000000000000028E8	1.00964965691298048E0
6.08000000000000007E8	1.00967450272990300E0
6.08999999999999986E8	1.00969910523185269E0
6.09999999999999964E8	1.00972346570612337E0
6.11000000000000032E8	1.00974758543121923E0
6.12000000000000011E8	1.00977146567726939E0
6.12999999999999989E8	1.00979510770767522E0
6.13999999999999968E8	1.00981851277490153E0
6.15000000000000036E8	1.00984168212442760E0
6.16000000000000014E8	1.00986461699331276E0
6.16999999999999993E8	1.00988731860961423E0
6.17999999999999972E8	1.00990978819536803E0
6.18999999999999950E8	1.00993202696135476E0
