time	Tran2.TRAN.VRL
1.00359000000002307E-6	-1.01876782952151768E0
1.00360000000002270E-6	-1.04528401139979854E0
1.00361000000002321E-6	-1.06771302291939296E0
1.00362000000002305E-6	-1.08596282922098197E0
1.00363000000002334E-6	-1.09995736578803061E0
1.00364000000002340E-6	-1.10963694028365767E0
1.00365000000002347E-6	-1.11495856992069453E0
1.00366000000002353E-6	-1.11589625168691531E0
1.00367000000002338E-6	-1.11244116332523846E0
1.00368000000002344E-6	-1.10460179327117691E0
1.00369000000002373E-6	-1.09240399786954989E0
1.00370000000002380E-6	-1.07589098426363017E0
1.00371000000002386E-6	-1.05512321750873728E0
1.00372000000002393E-6	-1.03017825081008474E0
1.00373000000002377E-6	-1.00115047836245408E0
1.00374000000002406E-6	-9.68150811049175886E-1
1.00375000000002390E-6	-9.31306276153561363E-1
1.00376000000002419E-6	-8.90759543127056830E-1
1.00377000000002403E-6	-8.46668378223631279E-1
1.00378000000002432E-6	-7.99205031358357587E-1
1.00379000000002438E-6	-7.48555558841990898E-1
1.00380000000002423E-6	-6.94919085705785555E-1
1.00381000000002452E-6	-6.38507011237737387E-1
1.00382000000002458E-6	-5.79542161209869633E-1
1.00383000000002465E-6	-5.18257890195020199E-1
1.00384000000002449E-6	-4.54897137433119170E-1
1.00385000000002478E-6	-3.89711439946204230E-1
1.00386000000002484E-6	-3.22959906998634194E-1
1.00387000000002469E-6	-2.54908160486796698E-1
1.00388000000002497E-6	-1.85827246325514950E-1
1.00389000000002504E-6	-1.15992522278851640E-1
1.00390000000002488E-6	-4.56825278872371232E-2
1.00391000000002517E-6	2.48221578608561932E-2
1.00392000000002501E-6	9.52400656590795869E-2
1.00393000000002530E-6	1.65289986687878576E-1
1.00394000000002537E-6	2.34692120340144905E-1
1.00395000000002543E-6	3.03169214449613911E-1
1.00396000000002572E-6	3.70447693834766589E-1
1.00397000000002556E-6	4.36258773067820282E-1
1.00398000000002563E-6	5.00339549352216295E-1
1.00399000000002547E-6	5.62434071289025006E-1
1.00400000000000000E-6	6.22294379049226087E-1


