time	Tran1.TRAN.I_DC.i
4.59473876978939799E-9	4.12782957118412419E-3
4.65723876978939888E-9	4.68127637474365077E-3
4.71973876978939710E-9	4.43395336072150226E-3
4.78223876978939799E-9	3.44686015153393566E-3
4.84343155553080429E-9	1.91288096688852249E-3
4.89991239771378950E-9	1.30333998237747828E-4
4.96241239771378861E-9	-1.94731279445887973E-3
5.02491239771378861E-9	-3.81464262712694024E-3
5.08741239771378861E-9	-5.24618562240383568E-3
5.13627328100300318E-9	-5.90526976448276653E-3
5.19877328100300407E-9	-6.01104196114099132E-3
5.25285382474817286E-9	-5.48532864258613362E-3
5.30658050335743958E-9	-4.47029097388512131E-3
5.36908050335744047E-9	-2.79468442370049930E-3
5.42741586725700742E-9	-9.94297037250980331E-4
5.48991586725700742E-9	9.08865733517757945E-4
5.55145840106435084E-9	2.54870794923236899E-3
5.59678667757058435E-9	3.45740358803057291E-3
5.64364329049749713E-9	4.02369629608651991E-3
5.68595823133891098E-9	4.20645473577019224E-3
5.72113154369727983E-9	4.11594274262917370E-3
5.78363154369727983E-9	3.39037083636268877E-3
5.82299187964704146E-9	2.60988320085045178E-3
5.88549187964703968E-9	1.05389143174095690E-3
5.93570930831011445E-9	-3.86283349560296596E-4
5.98457961168127817E-9	-1.82035449953045170E-3
6.04017296251222913E-9	-3.27960255470480799E-3
6.08705156753143761E-9	-4.26809625271418547E-3
6.14955156753143584E-9	-5.13019794550206143E-3
6.19887325864858774E-9	-5.34493628021377631E-3
6.23511033484573840E-9	-5.21171248219467032E-3
6.28931479623943801E-9	-4.60656110279269360E-3
6.31819750379178657E-9	-4.09584666104947814E-3
6.34774895686107588E-9	-3.43955645963026901E-3
6.37191508424899133E-9	-2.81727646325676373E-3
6.42289531609039344E-9	-1.38222952848695546E-3
6.45805983322602373E-9	-3.52907189926433862E-4
6.52055983322602373E-9	1.40775249815921422E-3
6.57445159597397932E-9	2.70217358232384708E-3
6.63695159597398110E-9	3.71842368831120407E-3
6.69787692391733636E-9	4.13238481504973532E-3
6.76037692391733813E-9	3.91947208202405317E-3
6.82287692391733636E-9	3.05466225435023775E-3
6.88537692391733547E-9	1.68922452392004097E-3
6.94726148823551704E-9	3.63827291022853938E-5
7.00976148823551615E-9	-1.73883130102251182E-3
7.07226148823551526E-9	-3.32638001632242508E-3
7.13476148823551348E-9	-4.42161520460793245E-3
7.19726148823551259E-9	-4.69501982204749968E-3
7.25643539433951368E-9	-3.88596244817890790E-3
7.30040778172248395E-9	-2.60567342508587174E-3
7.31441281256544329E-9	-2.10549928001231157E-3
7.32973703026874190E-9	-1.52942010917226701E-3
7.34128110471698925E-9	-1.07946540066230456E-3
7.35751431171687109E-9	-4.25944924928464985E-4
7.37236816580331666E-9	1.92257726081049429E-4
7.38810957711638139E-9	8.64271605308662494E-4
7.40484473891014616E-9	1.58678614505692162E-3
7.42796191834871333E-9	2.56546541972237030E-3
7.44040837255848686E-9	3.07087935709045246E-3
7.44942010195681714E-9	3.42257364690518351E-3
7.45833378644220613E-9	3.75733668498055895E-3
7.48507483989836864E-9	4.68272999381712829E-3
7.50288902184378514E-9	5.23407239506313537E-3
7.52568755518912891E-9	5.85781582549298552E-3
7.55153717597509377E-9	6.42908507894119197E-3
7.58061532841387642E-9	6.86096155300300836E-3
7.60851082886317975E-9	7.05386840267397019E-3
7.66820404071088824E-9	6.82434350904232989E-3
7.69956053779466387E-9	6.37382181565486228E-3
7.75603873393365806E-9	5.01514430790159516E-3
7.78785121562290072E-9	3.98176336927122732E-3
7.85035121562289895E-9	1.67513502514116386E-3
7.88564901496240367E-9	2.77235123615286039E-4
7.93904775872684265E-9	-1.83151124356560091E-3
7.99421375439395021E-9	-3.76934392413957609E-3
8.04962882841731187E-9	-5.24027102582136006E-3
8.11212882841731009E-9	-6.15151716282690231E-3
8.16597423360833119E-9	-6.03820951510334769E-3
8.22847423360832941E-9	-4.47491744148709891E-3
8.27759352468849308E-9	-2.19125847523671391E-3
8.34009352468849130E-9	1.56931152949253683E-3
8.40259352468849308E-9	5.67287687500704862E-3
8.46509352468849130E-9	9.39038882239118422E-3
8.52759352468849308E-9	1.20193519334261745E-2
8.59009352468849130E-9	1.31064737877411130E-2
8.65259352468848952E-9	1.24800884126332878E-2
8.71509352468848775E-9	1.02310387598075758E-2
8.76606674625432447E-9	7.45112639598430793E-3
8.80727173187738188E-9	4.80313628714272234E-3
8.85456973066266251E-9	1.55141533710657198E-3
8.90169039424674402E-9	-1.66457787479494912E-3
8.95923624825694276E-9	-5.15498826067351335E-3
9.00393790131798255E-9	-7.33001451320168673E-3
9.05411893446408911E-9	-9.02896410908924452E-3
9.10321592633517263E-9	-9.78783526049962482E-3
9.16571592633516907E-9	-9.24991819238834445E-3
9.22821592633517085E-9	-6.75028998571289840E-3
9.29071592633516730E-9	-2.17897808243352431E-3
9.35321592633516730E-9	3.85478849215052488E-3
9.41571592633517263E-9	1.02695263457073427E-2
9.47821592633517085E-9	1.61044054724425201E-2
9.54071592633516907E-9	2.04213749006546408E-2
9.60321592633517263E-9	2.23825548005529562E-2
9.66416688569720606E-9	2.17138299940215873E-2
9.72666688569720606E-9	1.84394670344890699E-2
9.75633332436599510E-9	1.60283169691265459E-2
9.77663735249756272E-9	1.41167281832246516E-2
9.81223952615705564E-9	1.04228046081839487E-2
9.83394299706296060E-9	8.01561132560254030E-3
9.86946511428358875E-9	3.93881926605722787E-3
9.89829779057356518E-9	5.90086947259188754E-4
9.93460249697525910E-9	-3.46237626888803796E-3
9.96684658665255441E-9	-6.74025010320524487E-3
9.99376866669854280E-9	-9.16499173651593502E-3
1.00278925852258327E-8	-1.17672964973522176E-2
1.00504490576317762E-8	-1.31588845266829324E-2
1.00916754596938940E-8	-1.48829844897266717E-2
1.01179711028104213E-8	-1.53979838944733438E-2
1.01667721789205068E-8	-1.51520360292190182E-2
1.02001780214815829E-8	-1.40601877770498729E-2
1.02545671465964494E-8	-1.04948418350108863E-2
1.02908161062053116E-8	-6.90548421418166303E-3
1.03507963150912552E-8	5.22607968052805205E-4
1.04056014055815904E-8	8.20017191063976902E-3
1.04681014055815891E-8	1.68871043970271240E-2
1.05275852552333271E-8	2.39396425283897196E-2
1.05900852552333258E-8	2.89019173407296259E-2
1.06525852552333267E-8	3.06689824716757764E-2
1.07150852552333276E-8	2.88896788008603478E-2
1.07775852552333240E-8	2.37122371477480343E-2
1.08400852552333249E-8	1.59398602537245804E-2
1.09014197847553596E-8	6.86587576748030948E-3
1.09496537393427151E-8	-5.12780592725254181E-4
1.09879891193323531E-8	-6.02612421999777492E-3
1.10260162514069582E-8	-1.08435584273337238E-2
1.10746179316903937E-8	-1.57194428171790412E-2
1.11092170212097341E-8	-1.81354564995062928E-2
1.11365401367954187E-8	-1.93105301320279943E-2
1.11604653308603519E-8	-1.97670683586891660E-2
1.11881659941801725E-8	-1.96203966973482724E-2
1.12120489326079675E-8	-1.89119964601988721E-2
1.12485431681055004E-8	-1.67775574406767136E-2
1.12891075514745909E-8	-1.29659769183014029E-2
1.13365854215712747E-8	-6.89261038535147197E-3
1.13952369207360737E-8	2.20650766294121370E-3
1.14577369207360746E-8	1.26892860682734687E-2
1.15120551415575845E-8	2.13727739830061214E-2
1.15745551415575854E-8	2.94692784431644972E-2
1.16370551415575862E-8	3.44759224821736687E-2
1.16995551415575849E-8	3.56709667588842594E-2
1.17620551415575836E-8	3.28125224259617765E-2
1.18245551415575822E-8	2.63316439896599075E-2
1.18870551415575809E-8	1.72130455555907780E-2
1.19495551415575796E-8	6.76720436710813278E-3
1.20078600433401550E-8	-2.81345756720919837E-3
1.20680277530559388E-8	-1.11469180474097240E-2
1.21235213881238302E-8	-1.64857278088280701E-2
1.21622101794495596E-8	-1.84908890239144297E-2
1.22247101794495583E-8	-1.82973075411820219E-2
1.22827561215298653E-8	-1.43703365594616539E-2
1.23452561215298617E-8	-6.64765078991221792E-3
1.24077561215298626E-8	3.68611374472210818E-3
1.24702561215298613E-8	1.51678096004078333E-2
1.25327561215298622E-8	2.61679101991650231E-2
1.25952561215298631E-8	3.51636653485799577E-2
1.26577561215298640E-8	4.08607261377739750E-2
1.27202561215298604E-8	4.24245872552949077E-2
1.27827561215298591E-8	3.96706327597626851E-2
1.28452561215298644E-8	3.30291333586161739E-2
1.29077561215298586E-8	2.35130679038783574E-2
1.29702561215298573E-8	1.26149827216660460E-2
1.30327561215298582E-8	2.01690031974624517E-3
1.30952561215298591E-8	-6.64019604245892303E-3
1.31548228473657280E-8	-1.18014156746658916E-2
1.32118106041233974E-8	-1.31635103610592408E-2
1.32743106041233982E-8	-1.03734304696213120E-2
1.33368106041233969E-8	-3.42820757656527908E-3
1.33993106041234000E-8	6.72546015705945965E-3
1.34618106041233965E-8	1.86606204976322188E-2
1.35243106041233996E-8	3.07288363805485432E-2
1.35868106041233982E-8	4.12493530001969688E-2
1.36493106041233969E-8	4.87324195558821760E-2
1.37118106041233956E-8	5.21373744356650271E-2
1.37743106041233987E-8	5.10132842175560874E-2
1.38368106041233951E-8	4.55765121477161017E-2
1.38993106041233960E-8	3.67243554107876324E-2
1.39618106041233991E-8	2.58809446624097594E-2
1.40243106041233956E-8	1.47713931020027389E-2
1.40868106041233920E-8	5.18757097522485111E-3
1.41493106041233974E-8	-1.30582231138114957E-3
1.42105327784565882E-8	-3.62391383576838377E-3
1.42718776130656355E-8	-1.48099356078236322E-3
1.43343776130656386E-8	5.07396745618154554E-3
1.43968776130656395E-8	1.51538849593292002E-2
1.44593776130656382E-8	2.73670117436613136E-2
1.45218776130656368E-8	4.00256568071648644E-2
1.45843776130656377E-8	5.13709660188058592E-2
1.46468776130656342E-8	5.98282623923616264E-2
1.47093776130656329E-8	6.42270218263522619E-2
1.47718776130656337E-8	6.39801101447352583E-2
1.48343776130656391E-8	5.92099263523579822E-2
1.48968776130656355E-8	5.07392159824459377E-2
1.49593776130656386E-8	3.99604991231085105E-2
1.50218776130656373E-8	2.86369255708191517E-2
1.50843776130656382E-8	1.86254762707803101E-2
1.51468776130656368E-8	1.15770567696230042E-2
1.52038342782993618E-8	8.75558226290744024E-3
1.52663342782993650E-8	1.01782325882237767E-2
1.53288342782993681E-8	1.61961939002154676E-2
1.53913342782993690E-8	2.60109564211479460E-2
1.54538342782993698E-8	3.82707289216071267E-2
1.55163342782993685E-8	5.12770773226024978E-2
1.55788342782993761E-8	6.32358318509197570E-2
1.56413342782993725E-8	7.24965234263336722E-2
1.57038342782993778E-8	7.77747991878596068E-2
1.57663342782993765E-8	7.83663356886160756E-2
1.58288342782993752E-8	7.42803571664574491E-2
1.58913342782993805E-8	6.62447883632455614E-2
1.59538342782993814E-8	5.56061546797219997E-2
1.60163342782993801E-8	4.41269337639107828E-2
1.60788342782993832E-8	3.37012861364730743E-2
1.61413342782993841E-8	2.60603818817867872E-2
1.62038342782993849E-8	2.25060193575662826E-2
1.62663342782993880E-8	2.37016443867404059E-2
1.63288342782993867E-8	2.95758642967361274E-2
1.63913342782993920E-8	3.93499173787484580E-2
1.64538342782993885E-8	5.16693317678889930E-2
1.65163342782993916E-8	6.48243277645380722E-2
1.65788342782993925E-8	7.70018236474693918E-2
1.66413342782993934E-8	8.65180751179237362E-2
1.67038342782993987E-8	9.20500151830497337E-2
1.67663342782993996E-8	9.28555315059055708E-2
1.68288342782993983E-8	8.89095625086838659E-2
1.68913342782994036E-8	8.09207857169226941E-2
1.69538342782994067E-8	7.02343212022992880E-2
1.70163342782994054E-8	5.86232465297289540E-2
1.70788342782994040E-8	4.80054037363801012E-2
