time	Tran2.TRAN.VCC
1.00193000000001220E-6	8.00000000000000000E0
1.00194000000001227E-6	8.00000000000000000E0
1.00195000000001255E-6	8.00000000000000000E0
1.00196000000001262E-6	8.00000000000000000E0
1.00197000000001291E-6	8.00000000000000000E0
1.00198000000001253E-6	8.00000000000000000E0
1.00199000000001304E-6	8.00000000000000000E0
1.00200000000001266E-6	8.00000000000000000E0
1.00201000000001295E-6	8.00000000000000000E0
1.00202000000001301E-6	8.00000000000000000E0
1.00203000000001330E-6	8.00000000000000000E0
1.00204000000001314E-6	8.00000000000000000E0
1.00205000000001321E-6	8.00000000000000000E0
1.00206000000001305E-6	8.00000000000000000E0
1.00207000000001312E-6	8.00000000000000000E0
1.00208000000001318E-6	8.00000000000000000E0
1.00209000000001303E-6	8.00000000000000000E0
1.00210000000001354E-6	8.00000000000000000E0
1.00211000000001360E-6	8.00000000000000000E0
1.00212000000001344E-6	8.00000000000000000E0
1.00213000000001351E-6	8.00000000000000000E0
1.00214000000001380E-6	8.00000000000000000E0
1.00215000000001386E-6	8.00000000000000000E0
1.00216000000001393E-6	8.00000000000000000E0
1.00217000000001377E-6	8.00000000000000000E0
1.00218000000001384E-6	8.00000000000000000E0
1.00219000000001413E-6	8.00000000000000000E0
1.00220000000001397E-6	8.00000000000000000E0
1.00221000000001426E-6	8.00000000000000000E0
1.00222000000001410E-6	8.00000000000000000E0
1.00223000000001439E-6	8.00000000000000000E0
1.00224000000001423E-6	8.00000000000000000E0
1.00225000000001430E-6	8.00000000000000000E0
1.00226000000001458E-6	8.00000000000000000E0
1.00227000000001443E-6	8.00000000000000000E0
1.00228000000001449E-6	8.00000000000000000E0
1.00229000000001478E-6	8.00000000000000000E0
1.00230000000001485E-6	8.00000000000000000E0
1.00231000000001491E-6	8.00000000000000000E0
1.00232000000001475E-6	8.00000000000000000E0
1.00233000000001482E-6	8.00000000000000000E0
1.00234000000001511E-6	8.00000000000000000E0
1.00235000000001495E-6	8.00000000000000000E0
1.00236000000001502E-6	8.00000000000000000E0
1.00237000000001508E-6	8.00000000000000000E0
1.00238000000001537E-6	8.00000000000000000E0
1.00239000000001544E-6	8.00000000000000000E0
1.00240000000001528E-6	8.00000000000000000E0
1.00241000000001534E-6	8.00000000000000000E0
1.00242000000001563E-6	8.00000000000000000E0
1.00243000000001548E-6	8.00000000000000000E0
1.00244000000001554E-6	8.00000000000000000E0
1.00245000000001583E-6	8.00000000000000000E0
1.00246000000001589E-6	8.00000000000000000E0
1.00247000000001574E-6	8.00000000000000000E0
1.00248000000001580E-6	8.00000000000000000E0
1.00249000000001565E-6	8.00000000000000000E0
1.00250000000001616E-6	8.00000000000000000E0
1.00251000000001622E-6	8.00000000000000000E0
1.00252000000001606E-6	8.00000000000000000E0
1.00253000000001613E-6	8.00000000000000000E0
1.00254000000001642E-6	8.00000000000000000E0
1.00255000000001626E-6	8.00000000000000000E0
1.00256000000001655E-6	8.00000000000000000E0
1.00257000000001639E-6	8.00000000000000000E0
1.00258000000001668E-6	8.00000000000000000E0
1.00259000000001652E-6	8.00000000000000000E0
1.00260000000001659E-6	8.00000000000000000E0
1.00261000000001688E-6	8.00000000000000000E0
1.00262000000001672E-6	8.00000000000000000E0
1.00263000000001679E-6	8.00000000000000000E0
1.00264000000001685E-6	8.00000000000000000E0
1.00265000000001714E-6	8.00000000000000000E0
1.00266000000001720E-6	8.00000000000000000E0
1.00267000000001705E-6	8.00000000000000000E0
1.00268000000001711E-6	8.00000000000000000E0
1.00269000000001740E-6	8.00000000000000000E0
1.00270000000001747E-6	8.00000000000000000E0
1.00271000000001753E-6	8.00000000000000000E0
1.00272000000001738E-6	8.00000000000000000E0
1.00273000000001744E-6	8.00000000000000000E0
1.00274000000001751E-6	8.00000000000000000E0
1.00275000000001757E-6	8.00000000000000000E0
1.00276000000001764E-6	8.00000000000000000E0
1.00277000000001770E-6	8.00000000000000000E0
1.00278000000001821E-6	8.00000000000000000E0
1.00279000000001761E-6	8.00000000000000000E0
1.00280000000001812E-6	8.00000000000000000E0
1.00281000000001796E-6	8.00000000000000000E0
1.00282000000001803E-6	8.00000000000000000E0
