time	Tran1.TRAN.I_RL.i
5.55145840106435084E-9	-3.78414360032450103E-3
5.59678667757058435E-9	-4.10783661358302865E-3
5.64364329049749713E-9	-4.14837547867211054E-3
5.68595823133891098E-9	-3.95059168075852973E-3
5.72113154369727983E-9	-3.62863556738264315E-3
5.78363154369727983E-9	-2.72875617821820615E-3
5.82299187964704146E-9	-1.99758459653508713E-3
5.88549187964703968E-9	-7.45150435167491043E-4
5.93570930831011445E-9	2.70707957370424523E-4
5.98457961168127817E-9	1.17601718362343721E-3
6.04017296251222913E-9	1.97193325252267559E-3
6.08705156753143761E-9	2.40023075597410251E-3
6.14955156753143584E-9	2.59278450932022908E-3
6.19887325864858774E-9	2.40353478420942146E-3
6.23511033484573840E-9	2.07300593104100717E-3
6.28931479623943801E-9	1.34697652733205886E-3
6.31819750379178657E-9	8.62388316044754788E-4
6.34774895686107588E-9	3.04155928790527730E-4
6.37191508424899133E-9	-1.85813875162805919E-4
6.42289531609039344E-9	-1.21955865880269987E-3
6.45805983322602373E-9	-1.89234838460152144E-3
6.52055983322602373E-9	-2.91497559168751419E-3
6.57445159597397932E-9	-3.53020387128362811E-3
6.63695159597398110E-9	-3.82170758479617323E-3
6.69787692391733636E-9	-3.67135770882934054E-3
6.76037692391733813E-9	-3.09956742380156047E-3
6.82287692391733636E-9	-2.15690913240446802E-3
6.88537692391733547E-9	-9.96572827074327883E-4
6.94726148823551704E-9	2.06238521784083284E-4
7.00976148823551615E-9	1.33226380781785947E-3
7.07226148823551526E-9	2.17974274110840138E-3
7.13476148823551348E-9	2.57774170773447953E-3
7.19726148823551259E-9	2.36174853264297901E-3
7.25643539433951368E-9	1.45351742413116636E-3
7.30040778172248395E-9	3.82624068391226313E-4
7.31441281256544329E-9	-2.54338655099666866E-6
7.32973703026874190E-9	-4.30734589803961132E-4
7.34128110471698925E-9	-7.55009544559469692E-4
7.35751431171687109E-9	-1.21162393975832794E-3
7.37236816580331666E-9	-1.62924955586360865E-3
7.38810957711638139E-9	-2.06859194019167880E-3
7.40484473891014616E-9	-2.52427782435836257E-3
7.42796191834871333E-9	-3.11175032324644896E-3
7.44040837255848686E-9	-3.39975085983310610E-3
7.44942010195681714E-9	-3.59285662791388072E-3
7.45833378644220613E-9	-3.77046115335704357E-3
7.48507483989836864E-9	-4.22592264594451628E-3
7.50288902184378514E-9	-4.46722528741651992E-3
7.52568755518912891E-9	-4.70333825514820258E-3
7.55153717597509377E-9	-4.85952786349884125E-3
7.58061532841387642E-9	-4.87483464060906702E-3
7.60851082886317975E-9	-4.73113167615409758E-3
7.66820404071088824E-9	-4.01075984316319101E-3
7.69956053779466387E-9	-3.43637006873186701E-3
7.75603873393365806E-9	-2.12230149270031276E-3
7.78785121562290072E-9	-1.26452428434885156E-3
7.85035121562289895E-9	4.40412524973101149E-4
7.88564901496240367E-9	1.36682297692563681E-3
7.93904775872684265E-9	2.62957593953643309E-3
7.99421375439395021E-9	3.61512959985493554E-3
8.04962882841731187E-9	4.15886083502453907E-3
8.11212882841731009E-9	4.18254039976996506E-3
8.16597423360833119E-9	3.58044796024070644E-3
8.22847423360832941E-9	1.99181283185408642E-3
8.27759352468849308E-9	1.64942760680849787E-4
8.34009352468849130E-9	-2.46399550718491911E-3
8.40259352468849308E-9	-4.97326703971392448E-3
8.46509352468849130E-9	-6.88055288043021740E-3
8.52759352468849308E-9	-7.78640997246826760E-3
8.59009352468849130E-9	-7.51492646580527612E-3
8.65259352468848952E-9	-6.10628501130521695E-3
8.71509352468848775E-9	-3.77503895557788827E-3
8.76606674625432447E-9	-1.45183606643810759E-3
8.80727173187738188E-9	5.17520987250451903E-4
