time	Tran2.TRAN.Vc
1.00163000000001023E-6	6.34789053155428018E0
1.00164000000001052E-6	6.52681675823590801E0
1.00165000000001059E-6	6.71168463657891756E0
1.00166000000001043E-6	6.90177707541397556E0
1.00167000000001072E-6	7.09635222941776700E0
1.00168000000001056E-6	7.29464649577065671E0
1.00169000000001085E-6	7.49587765726224386E0
1.00170000000001092E-6	7.69924816989069516E0
1.00171000000001098E-6	7.90394858628327679E0
1.00172000000001127E-6	8.10916109583834199E0
1.00173000000001133E-6	8.31406315176901067E0
1.00174000000001118E-6	8.51783114681933284E0
1.00175000000001124E-6	8.71964409597955381E0
1.00176000000001131E-6	8.91868728656095655E0
1.00177000000001115E-6	9.11415586332902983E0
1.00178000000001122E-6	9.30525832674926434E0
1.00179000000001150E-6	9.49121993353655569E0
1.00180000000001135E-6	9.67128599752307316E0
1.00181000000001164E-6	9.84472509373450499E0
1.00182000000001170E-6	1.00108321682103663E1
1.00183000000001177E-6	1.01689315513976242E1
1.00184000000001183E-6	1.03183798651408343E1
1.00185000000001168E-6	1.04585688051552439E1
1.00186000000001196E-6	1.05889277744297861E1
1.00187000000001181E-6	1.07089263405187651E1
1.00188000000001209E-6	1.08180764915498395E1
1.00189000000001216E-6	1.09159346719887917E1
1.00190000000001223E-6	1.10021035878748186E1
1.00191000000001229E-6	1.10762337806609801E1
1.00192000000001213E-6	1.11380249763935835E1
1.00193000000001220E-6	1.11872272215033863E1
1.00194000000001227E-6	1.12236418168434704E1
1.00195000000001255E-6	1.12471220585572862E1
1.00196000000001262E-6	1.12575737887649518E1
1.00197000000001291E-6	1.12549557531193289E1
1.00198000000001253E-6	1.12392797574151970E1
1.00199000000001304E-6	1.12106106133781491E1
1.00200000000001266E-6	1.11690658646534535E1
1.00201000000001295E-6	1.11148152879079132E1
1.00202000000001301E-6	1.10480801693549591E1
1.00203000000001330E-6	1.09691323628270276E1
1.00204000000001314E-6	1.08782931398892257E1
1.00205000000001321E-6	1.07759318447824137E1
1.00206000000001305E-6	1.06624643664415109E1
1.00207000000001312E-6	1.05383514372349807E1
1.00208000000001318E-6	1.04040967639784965E1
1.00209000000001303E-6	1.02602449928618777E1
1.00210000000001354E-6	1.01073795070123795E1
1.00211000000001360E-6	9.94612005475910266E0
1.00212000000001344E-6	9.77712020815311078E0
1.00213000000001351E-6	9.60106465502237505E0
1.00214000000001380E-6	9.41866633259028241E0
1.00215000000001386E-6	9.23066341579707306E0
1.00216000000001393E-6	9.03781617749471344E0
1.00217000000001377E-6	8.84090374028802906E0
1.00218000000001384E-6	8.64072074027635573E0
1.00219000000001413E-6	8.43807392192559824E0
1.00220000000001397E-6	8.23377868100288346E0
1.00221000000001426E-6	8.02865557020018983E0
1.00222000000001410E-6	7.82352678021856640E0
1.00223000000001439E-6	7.61921260871370976E0
1.00224000000001423E-6	7.41652793047080827E0
1.00225000000001430E-6	7.21627868471214917E0
1.00226000000001458E-6	7.01925839861938705E0
1.00227000000001443E-6	6.82624476964777216E0
1.00228000000001449E-6	6.63799633189756477E0
1.00229000000001478E-6	6.45524923354986857E0
1.00230000000001485E-6	6.27871415254436549E0
1.00231000000001491E-6	6.10907337678772500E0
1.00232000000001475E-6	5.94697807321792649E0
1.00233000000001482E-6	5.79304576791640624E0
1.00234000000001511E-6	5.64785805720579237E0
1.00235000000001495E-6	5.51195856792242900E0
1.00236000000001502E-6	5.38585118331429502E0
1.00237000000001508E-6	5.26999854925637834E0
1.00238000000001537E-6	5.16482087261453771E0
1.00239000000001544E-6	5.07069501925212229E0
1.00240000000001528E-6	4.98795391229723961E0
1.00241000000001534E-6	4.91688622193057423E0
1.00242000000001563E-6	4.85773632586094806E0
1.00243000000001548E-6	4.81070450597503729E0
1.00244000000001554E-6	4.77594733233285318E0
1.00245000000001583E-6	4.75357817300307062E0
1.00246000000001589E-6	4.74366775896712767E0
1.00247000000001574E-6	4.74624473003433067E0
1.00248000000001580E-6	4.76129609175853918E0
1.00249000000001565E-6	4.78876752606086953E0
1.00250000000001616E-6	4.82856351897634450E0
1.00251000000001622E-6	4.88054729639481444E0
1.00252000000001606E-6	4.94454058943133923E0
1.00253000000001613E-6	5.02032328150639628E0
1.00254000000001642E-6	5.10763301451360796E0
1.00255000000001626E-6	5.20616484801457258E0
1.00256000000001655E-6	5.31557107009455887E0
1.00257000000001639E-6	5.43546125092073762E0
1.00258000000001668E-6	5.56540261112944368E0
1.00259000000001652E-6	5.70492075068739979E0
1.00260000000001659E-6	5.85350075412345650E0
1.00261000000001688E-6	6.01058866048852725E0
1.00262000000001672E-6	6.17559326506016770E0
1.00263000000001679E-6	6.34788820786586960E0
1.00264000000001685E-6	6.52681430183815614E0
1.00265000000001714E-6	6.71168205978294630E0
1.00266000000001720E-6	6.90177439080881872E0
1.00267000000001705E-6	7.09634944987406779E0
1.00268000000001711E-6	7.29464363444424002E0
1.00269000000001740E-6	7.49587472756680562E0
1.00270000000001747E-6	7.69924518542784675E0
1.00271000000001753E-6	7.90394556074276178E0
1.00272000000001738E-6	8.10915804289651376E0
1.00273000000001744E-6	8.31406008501607019E0
1.00274000000001751E-6	8.51782807972937128E0
1.00275000000001757E-6	8.71964104191629552E0
1.00276000000001764E-6	8.91868425879022375E0
1.00277000000001770E-6	9.11415287500483196E0
1.00278000000001821E-6	9.30525539084807463E0
1.00279000000001761E-6	9.49121706274013199E0
1.00280000000001812E-6	9.67128320407305964E0
1.00281000000001796E-6	9.84472238929972576E0
1.00282000000001803E-6	1.00108295638045131E1
1.00283000000001810E-6	1.01689290573681346E1
1.00284000000001838E-6	1.03183774912192261E1
1.00285000000001845E-6	1.04585665605364175E1
1.00286000000001851E-6	1.05889256678330335E1
1.00287000000001836E-6	1.07089243801938094E1
1.00288000000001842E-6	1.08180746852116760E1
1.00289000000001849E-6	1.09159330266977062E1
1.00290000000001855E-6	1.10021021098984861E1
1.00291000000001862E-6	1.10762324753654395E1
1.00292000000001846E-6	1.11380238481958194E1
1.00293000000001920E-6	1.11872262738954786E1
1.00294000000001882E-6	1.12236410524683139E1
1.00295000000001888E-6	1.12471214792993535E1
1.00296000000001895E-6	1.12575733958149038E1
1.00297000000001901E-6	1.12549555469880480E1
1.00298000000001930E-6	1.12392797378945275E1
1.00299000000001914E-6	1.12106107794712462E1
1.00300000000001921E-6	1.11690662145079056E1
1.00301000000001950E-6	1.11148158187841295E1
1.00302000000001934E-6	1.10480808776441419E1
1.00303000000001941E-6	1.09691332441135181E1
1.00304000000001947E-6	1.08782941890329221E1
1.00305000000001932E-6	1.07759330559935007E1
1.00306000000001960E-6	1.06624657333255435E1
1.00307000000001967E-6	1.05383529528055186E1
1.00308000000001973E-6	1.04040984206500031E1
1.00309000000001980E-6	1.02602467824480792E1
1.00310000000001986E-6	1.01073814207512802E1
1.00311000000001993E-6	9.94612208337544601E0
1.00312000000002000E-6	9.77712234194955521E0
1.00313000000002006E-6	9.60106688397925900E0
1.00314000000002035E-6	9.41866864644783419E0
1.00315000000002041E-6	9.23066580410459281E0
1.00316000000002026E-6	9.03781862962468807E0
1.00317000000002032E-6	8.84090624543270742E0
1.00318000000002039E-6	8.64072328745077733E0
1.00319000000002045E-6	8.43807650000175435E0
1.00320000000002052E-6	8.23378127878369526E0
1.00321000000002036E-6	8.02865817652663871E0
1.00322000000002065E-6	7.82352938408548937E0
1.00323000000002072E-6	7.61921519936736047E0
1.00324000000002056E-6	7.41653049746562765E0
1.00325000000002107E-6	7.21628121792341481E0
1.00326000000002113E-6	7.01926088822386696E0
1.00327000000002098E-6	6.82624720609999525E0
1.00328000000002104E-6	6.63799870592734997E0
1.00329000000002111E-6	6.45525153619912118E0
1.00330000000002117E-6	6.27871637524048065E0
1.00331000000002124E-6	6.10907551143718663E0
1.00332000000002131E-6	5.94698011229165857E0
1.00333000000002137E-6	5.79304770450441886E0
1.00334000000002121E-6	5.64785988502844116E0
1.00335000000002150E-6	5.51196028130570603E0
1.00336000000002157E-6	5.38585277714744759E0
1.00337000000002163E-6	5.27000001895759418E0
1.00338000000002170E-6	5.16482221412140508E0
1.00339000000002176E-6	5.07069622904256523E0
1.00340000000002161E-6	4.98795498742874788E0
1.00341000000002190E-6	4.91688716007884974E0
1.00342000000002196E-6	4.85773712533623847E0
1.00343000000002203E-6	4.81070516570658935E0
